radius_bin,step,n_baseline,temporal_lock,lag_margin,collapse_authority,trajectory_alignment,projected_visibility,zp_support_drive,point_selection_pressure,collapse_score_raw,collapse_score_rel,pair_upstream_lag,deficit_slope_lag,curvature_deficit_lag,pair_tail_lag
3,21,1.681130342746636,0.9333333333333332,0.0,0.5458415672686874,0.4043074843933139,0.9177479666825354,0.23438887072692122,0.7058884263195336,0.10661776523606409,0.723444604833,0,0,3,0
3,22,1.7214797329475886,1.0,0.0,0.5792725190896519,0.45759508689744766,0.939775152720534,0.2770714333455039,0.768892017747329,0.1389132883810797,0.9425827749849458,0,0,3,0
3,23,1.755085974864549,1.0,0.0,0.5796099618155139,0.460723109995537,0.9581211782504414,0.2784222035113732,0.7853882649530564,0.14289409348303328,0.9695941456277611,0,0,3,0
3,24,1.7826701657996058,1.0,0.0,0.5798109828864528,0.4624801751205573,0.9731796984017528,0.27916045294552827,0.7985569985287321,0.1458626765087495,0.9897371806013248,0,0,3,0
3,25,1.8050171869900584,1.0,0.0,0.5795408533068713,0.46201374484655483,0.9853791886717588,0.2784734418032587,0.80779009838432,0.14737516117070537,0.9999999999932145,0,0,3,0
3,26,1.822904121074746,1.0,0.0,0.5783128266818909,0.45488312154103816,0.995143867215117,0.27255425830700325,0.80903085287001,0.14521049345898562,0.9853118551626368,0,0,3,0
3,27,1.837056518855951,1.0,0.0,0.5754371021235278,0.43690881556764194,1.0,0.25790023084193975,0.7961513117027315,0.1370021871067469,0.9296151808589167,0,0,3,0
3,28,1.8481353609611344,1.0,0.0,0.562200888258783,0.3950127983155667,1.0,0.2242071625508087,0.7574609765404353,0.11685527435589038,0.792910239600983,0,0,3,0
3,29,1.8567517663925857,1.0,0.0,0.5495299698718326,0.2429932940781941,1.0,0.10180066401885068,0.6168994695466901,0.05806957859525102,0.3940255476809604,0,0,3,0
3,30,1.863484656021836,1.0,0.0038188779577885716,0.5392070908178,0.23732684466123058,1.0,0.09942673713554136,0.6141734481000117,0.05630284302601484,0.3820375331798073,0,0,3,0
3,31,1.8688374291515504,0.9333333333333332,0.19999999999977075,0.5516772277583113,0.24933116943698627,1.0,0.10445588099692142,0.6199485012918107,0.06955551537162537,0.47196226839465105,0,0,3,0
3,32,1.8731111476806448,0.8666666666666666,0.0,0.45846773568680665,0.0,1.0,0.0,0.5,0.0,0.0,0,0,0,0
