step,n_r2_baseline,n_r3_baseline,n_r5_baseline,n_r6_baseline,n_r3_lag_tensor,n_r5_lag_tensor,n_r6_lag_tensor,n_r2_lag_tensor
19,1.992339009632749,1.5781083373334917,0.2001616887247881,5.282697596141393e-05,1.5818132382103842,0.20022964533041948,5.282697596141393e-05,1.992339009632749
20,2.051386607389164,1.633464733540511,0.2643941136720493,0.0001061050728854,1.6364865212547899,0.2644953622545423,0.0001061050728854,2.051386607389164
21,2.1009102727458586,1.681130342746636,0.3284147763169597,0.0002124149555839,1.6835680008978164,0.328602431981734,0.0002124149555839,2.1009102727458586
22,2.141644074939,1.7214797329475886,0.3889525178426211,0.00042328499061,1.7234213094595434,0.3892383478799165,0.00042328499061,2.141644074939
23,2.174507093913129,1.755085974864549,0.444252946656183,0.0008391470959857,1.7566117848667118,0.44463412600427826,0.0008391470959857,2.174507093913129
24,2.2005311260318585,1.7826701657996058,0.4936407114222289,0.0016543794332607,1.783853448527867,0.49411310462055325,0.0016543794332607,2.2005311260318585
25,2.220763821370701,1.8050171869900584,0.5370938116378632,0.0032405731282856,1.8059225707699895,0.5377296397349749,0.0032405731282856,2.220763821370701
26,2.2361924834416453,1.822904121074746,0.5749462085136756,0.006292052383407,1.82358698008139,0.5757453743650667,0.006292052383407,2.2361924834416453
27,2.247700420468192,1.837056518855951,0.6077101030065305,0.0120514339303212,1.8375632735851941,0.6086674955409912,0.0120514339303212,2.247700420468192
28,2.2560554310551213,1.8481353609611344,0.6359875222558032,0.0225681026313794,1.848504176589401,0.6370982475635051,0.0225681026313794,2.2560554310551213
29,2.2619254008170366,1.8567517663925857,0.6604444475925098,0.0407357411614145,1.8570133619483795,0.6617043063565965,0.0407357411614145,2.2619254008170366
30,2.265897233275748,1.863484656021836,0.6818063414644628,0.0695560448294982,1.8636630884462684,0.6832111674268551,0.0695560448294982,2.265897233275748
31,2.268441858610182,1.8688374291515504,0.7007954609483807,0.1103483305258402,1.8689515291865018,0.702200286910773,0.1103483305258402,2.268441858610182
32,2.2698117532804485,1.8731111476806448,0.7179664195779251,0.1611762851391955,1.8731763691703716,0.719183772242676,0.16121721239225523,2.2698117532804485
33,2.2700114770772166,1.8763393580577807,0.7335738345337043,0.2174731062932327,1.87636961853282,0.734625341047778,0.2175383930993342,2.2700114770772166
34,2.268945436640619,1.878412246877999,0.747631972271176,0.2743328419029002,1.8784215815331051,0.7485334334023526,0.27443923607405746,2.268945436640619
35,2.266600662661554,1.879262825807802,0.7600863686507975,0.3281846288609398,1.879262825807844,0.760857251406577,0.32834208054614505,2.266600662661554
36,2.263111439876744,1.8789517201465784,0.7709326956432885,0.3770935211714454,1.8789517201466088,0.7715873654461587,0.3773006024081226,2.263111439876744
37,2.258720113977397,1.8776479946381737,0.7802446990014954,0.4203503447965633,1.8776479946381923,0.7807958690910246,0.4206062523581375,2.258720113977397
38,2.253709703661785,1.8755739508509588,0.7881542098201568,0.4579765393962184,1.8755739508509657,0.788616315209263,0.4583289971426878,2.253709703661785
39,2.24835171952551,1.8729575539427628,0.7948218249212539,0.4903639428581802,1.8729575539427659,0.7952085846213918,0.490862997167269,2.24835171952551
40,2.242877858057468,1.8700039318087456,0.8004139791274028,0.5180577072552912,1.8700039318087454,0.8007374846672786,0.518703632305614,2.242877858057468
