radius_bin,step,n_baseline,projected_visibility,winner_name,winner_prob,winner_prob_margin,entropy_rejection,winner_lock_stability,collapse_score_raw,collapse_score_rel,winner_changed_here
3,22,1.7214797329475886,0.939775152720534,def_slope@0,0.5678311284075006,0.13700051502388153,0.7685694257904203,0.6666666666666666,0.03865935801845832,0.038766631105325515,1
3,23,1.755085974864549,0.9581211782504414,def_slope@0,0.5345479079382074,0.07031604307173127,0.766345476679182,1.0,0.028201695879633358,0.028279950747974774,0
3,24,1.7826701657996058,0.9731796984017528,def_slope@0,0.5151572839020168,0.03146836222341039,0.7657382075783405,0.6666666666666666,0.008164689746398546,0.008187345359872285,0
3,25,1.8050171869900584,0.9853791886717588,curv_def@3,0.5068082681623166,0.014740848444604117,0.7656353148728017,0.6666666666666666,0.003785387467952986,0.00379589126883043,1
3,26,1.822904121074746,0.995143867215117,curv_def@3,0.6036535555089493,0.2087744504107868,0.7726620802795717,1.0,0.09714018650731918,0.09740973386142991,0
3,27,1.837056518855951,1.0,curv_def@3,0.7983508904454458,0.5988254843623201,0.8290569250693602,1.0,0.39634961416150594,0.3974494163509118,0
3,28,1.8481353609611344,1.0,curv_def@3,0.9665662822262936,0.9353346290031865,0.9490599857027169,1.0,0.8580099371777267,0.8603907675701982,0
3,29,1.8567517663925857,1.0,curv_def@3,0.9992344038251544,0.998649617940689,0.997739756070097,1.0,0.9956295919734919,0.9983922933007184,0
3,30,1.863484656021836,1.0,curv_def@3,0.9994327843659945,0.9989995850782878,0.9982619563699999,1.0,0.9966976168893132,0.999463281802472,0
3,31,1.8688374291515504,1.0,curv_def@3,0.9999291986029221,0.9999925467204315,0.9996809389892664,0.6666666666666666,0.6664018065387802,0.6682509572372258,0
3,32,1.8731111476806448,1.0,pair_upstream@0,0.05,0.0,0.0,0.6666666666666666,0.0,0.0,1
3,33,1.8763393580577807,1.0,pair_upstream@0,0.9916330028188651,0.9857453360325505,0.9822512933958453,0.6666666666666666,0.6400988595609107,0.6418750240935055,0
3,34,1.878412246877999,1.0,pair_tail@3,0.7949340345316229,0.5926491728477901,0.8265060436056203,0.6666666666666666,0.2595873640801394,0.2603076744857933,1
3,35,1.879262825807802,1.0,pair_tail@3,0.9640331796041779,0.9308983765296981,0.9456449737765527,1.0,0.8486378014957109,0.8509926258193627,0
3,36,1.8789517201465784,1.0,pair_tail@3,0.8129207113322541,0.6278437716919818,0.8361941560925822,0.6666666666666666,0.284521865716424,0.2853113650868492,0
3,37,1.8776479946381737,1.0,pair_upstream@3,0.6289104753200657,0.2591542162474527,0.7770414236290877,0.6666666666666666,0.08443062803244845,0.08466490854199163,1
